index,timestamp,scenario,block_position,missing_rate_percent,method,original_temperature,damaged_temperature,reconstructed_temperature,error
116,2009-01-01 19:30:00,random,none,20,linear_interpolation,-4.9,,-4.915,0.01499999999999968
118,2009-01-01 19:50:00,random,none,20,linear_interpolation,-4.99,,-4.935,0.055000000000000604
120,2009-01-01 20:10:00,random,none,20,linear_interpolation,-4.93,,-4.895,0.03500000000000014
122,2009-01-01 20:30:00,random,none,20,linear_interpolation,-4.93,,-4.945,0.015000000000000568
150,2009-01-02 01:10:00,random,none,20,linear_interpolation,-4.39,,-4.42,0.03000000000000025
154,2009-01-02 01:50:00,random,none,20,linear_interpolation,-4.26,,-4.293333,0.033332999999999835
155,2009-01-02 02:00:00,random,none,20,linear_interpolation,-4.29,,-4.276667,0.013333000000000261
168,2009-01-02 04:10:00,random,none,20,linear_interpolation,-4.63,,-4.605,0.024999999999999467
170,2009-01-02 04:30:00,random,none,20,linear_interpolation,-4.74,,-4.745,0.004999999999999893
174,2009-01-02 05:10:00,random,none,20,linear_interpolation,-4.94,,-4.87,0.07000000000000028
177,2009-01-02 05:40:00,random,none,20,linear_interpolation,-4.64,,-4.563333,0.0766669999999996
178,2009-01-02 05:50:00,random,none,20,linear_interpolation,-4.67,,-4.496667,0.17333299999999952
184,2009-01-02 06:50:00,random,none,20,linear_interpolation,-4.26,,-4.22,0.040000000000000036
187,2009-01-02 07:20:00,random,none,20,linear_interpolation,-4.37,,-4.335,0.03500000000000014
190,2009-01-02 07:50:00,random,none,20,linear_interpolation,-4.39,,-4.38,0.009999999999999787
192,2009-01-02 08:10:00,random,none,20,linear_interpolation,-4.37,,-4.32,0.04999999999999982
196,2009-01-02 08:50:00,random,none,20,linear_interpolation,-4.17,,-4.183333,0.013333000000000261
197,2009-01-02 09:00:00,random,none,20,linear_interpolation,-4.13,,-4.126667,0.0033329999999995863
206,2009-01-02 10:30:00,random,none,20,linear_interpolation,-3.9,,-3.9,0.0
216,2009-01-02 12:10:00,random,none,20,linear_interpolation,-3.07,,-3.01,0.06000000000000005
225,2009-01-02 13:40:00,random,none,20,linear_interpolation,-2.21,,-2.36,0.1499999999999999
226,2009-01-02 13:50:00,random,none,20,linear_interpolation,-2.41,,-2.46,0.04999999999999982
228,2009-01-02 14:10:00,random,none,20,linear_interpolation,-2.62,,-2.55,0.07000000000000028
230,2009-01-02 14:30:00,random,none,20,linear_interpolation,-2.14,,-2.38,0.23999999999999977
238,2009-01-02 15:50:00,random,none,20,linear_interpolation,-2.65,,-2.655,0.004999999999999893
243,2009-01-02 16:40:00,random,none,20,linear_interpolation,-2.83,,-2.87,0.040000000000000036
244,2009-01-02 16:50:00,random,none,20,linear_interpolation,-2.84,,-2.9,0.06000000000000005
245,2009-01-02 17:00:00,random,none,20,linear_interpolation,-2.88,,-2.93,0.050000000000000266
247,2009-01-02 17:20:00,random,none,20,linear_interpolation,-2.96,,-2.965,0.004999999999999893
249,2009-01-02 17:40:00,random,none,20,linear_interpolation,-3.03,,-3.003333,0.026666999999999774
250,2009-01-02 17:50:00,random,none,20,linear_interpolation,-3.05,,-3.036667,0.013332999999999817
276,2009-01-02 22:10:00,random,none,20,linear_interpolation,-4.06,,-4.11,0.05000000000000071
279,2009-01-02 22:40:00,random,none,20,linear_interpolation,-4.3,,-4.345,0.04499999999999993
282,2009-01-02 23:10:00,random,none,20,linear_interpolation,-4.45,,-4.455,0.004999999999999893
